"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 20 02:51:51 UTC 2023","Mon Nov 20 02:51:51 UTC 2023","406","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Mon Nov 20 02:38:24 UTC 2023","Mon Nov 20 02:38:32 UTC 2023","8546","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","3. Create new Individual investment account",""
"passed","Mon Nov 20 02:51:47 UTC 2023","Mon Nov 20 02:51:51 UTC 2023","3449","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Mon Nov 20 03:05:11 UTC 2023","Mon Nov 20 03:06:21 UTC 2023","69760","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Mon Nov 20 03:02:42 UTC 2023","Mon Nov 20 03:02:47 UTC 2023","5573","","6. Company Account","","","","3. Complete Investment Choice",""
"passed","Mon Nov 20 04:25:14 UTC 2023","Mon Nov 20 04:26:21 UTC 2023","66627","","22. Individual Onboarding for Interactive Brokers","","","","14. Complete Final Review",""
"passed","Mon Nov 20 03:03:27 UTC 2023","Mon Nov 20 03:03:28 UTC 2023","376","","6. Company Account","","","","9. Review Final Review",""
"passed","Mon Nov 20 03:07:56 UTC 2023","Mon Nov 20 03:08:10 UTC 2023","13702","","9. Client Portal - Home","","","","1. Check links",""
"passed","Mon Nov 20 04:20:38 UTC 2023","Mon Nov 20 04:20:40 UTC 2023","2281","","22. Individual Onboarding for Interactive Brokers","","","","8. Check Review Page",""
"passed","Mon Nov 20 03:54:11 UTC 2023","Mon Nov 20 03:54:22 UTC 2023","10321","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"passed","Mon Nov 20 02:56:23 UTC 2023","Mon Nov 20 02:56:26 UTC 2023","2655","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","8. Navigate from Applicants to Bank Details",""
"passed","Mon Nov 20 02:39:20 UTC 2023","Mon Nov 20 02:39:30 UTC 2023","9696","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","7. Complete Screen and Tilts",""
"passed","Mon Nov 20 02:40:13 UTC 2023","Mon Nov 20 02:40:41 UTC 2023","28311","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","10. Complete Risk Profile and navigate to Review",""
